algorithm,dataset,k_ratio,l1_error,l2_error,runtime,memory_mb,compression_ratio,actual_size,original_size
SSumM,Amazon-0302,0.6,0.01082619383883707,0.008660955071069657,295.2159647932484,2214.1197359493635,1.5849085981525908,20437888.4612731,32392185.15035536
SSumM-Dir,Amazon-0302,0.1,0.01565451259913814,0.012523610079310514,402.60217979320066,2731.943362882433,9.28181834159247,3489853.3841374316,32392185.15035536
SSumM-Dir,Amazon-0302,0.2,0.01432381761452419,0.011459054091619352,377.29182027927504,2560.1944947522234,4.993648230255515,6486677.406329423,32392185.15035536
SSumM-Dir,Amazon-0302,0.30000000000000004,0.011092970529844946,0.008874376423875957,299.4351510396392,2031.8813820546943,3.1116779181779974,10409877.2437612,32392185.15035536
SSumM-Dir,Amazon-0302,0.4,0.014336706538573305,0.011469365230858645,396.8329091336109,2692.7947405495024,2.4746763221246484,13089463.40204397,32392185.15035536
SSumM-Dir,Amazon-0302,0.5,0.015318445656139726,0.012254756524911781,435.06801093708407,2952.2472170730703,1.9624803151273669,16505737.6120754,32392185.15035536
SSumM-Dir,Amazon-0302,0.6,0.014929248072766353,0.011943398458213083,435.3717087140366,2954.3080234166764,1.678807009793097,19294764.056499567,32392185.15035536
k-Gs,Email-Enron,0.1,0.028635211292462655,0.022908169033970124,231.2792737008192,1541.8618246721283,10.717562249842,520167.1977342113,5574924.322042282
k-Gs,Email-Enron,0.2,0.027952860481288682,0.022362288385030946,231.23023228766272,1541.5348819177516,4.818297289481628,1157032.0358215286,5574924.322042282
k-Gs,Email-Enron,0.30000000000000004,0.02299105241553982,0.018392841932431857,194.90075658311167,1299.3383772207446,3.5628604130474963,1564732.7359855124,5574924.322042282
k-Gs,Email-Enron,0.4,0.026025333847474512,0.020820267077979612,226.2321619099874,1508.2144127332494,2.653432388414359,2101023.695340416,5574924.322042282
k-Gs,Email-Enron,0.5,0.023000639123952792,0.018400511299162235,205.15500068832733,1367.700004588849,2.066320047093325,2697996.532475441,5574924.322042282
k-Gs,Email-Enron,0.6,0.02191010828494577,0.017528086627956616,200.66265078485822,1337.7510052323883,1.6721811590129145,3333923.65533717,5574924.322042282
S2L,Email-Enron,0.1,0.021131992832934134,0.01690559426634731,252.85584936024816,1517.135096161489,10.499432857046576,530973.8533449199,5574924.322042282
S2L,Email-Enron,0.2,0.0264061953727994,0.02112495629823952,323.60887075227214,1941.6532245136327,4.815685057600987,1157659.6590848328,5574924.322042282
S2L,Email-Enron,0.30000000000000004,0.023016005287455163,0.018412804229964132,289.05524172131777,1734.3314503279064,3.61345419511051,1542824.1292184927,5574924.322042282
S2L,Email-Enron,0.4,0.01892457106847883,0.015139656854783065,243.71390505327588,1462.283430319655,2.4163332401215105,2307183.55791105,5574924.322042282
S2L,Email-Enron,0.5,0.022396444136921923,0.01791715530953754,295.94942590522624,1775.6965554313572,1.8252011077211718,3054416.468661238,5574924.322042282
S2L,Email-Enron,0.6,0.01992892476289983,0.015943139810319865,270.39715376068557,1622.3829225641134,1.6860835883169456,3306434.129761734,5574924.322042282
SAA-Gs,Email-Enron,0.1,0.02002095521261931,0.01601676417009545,235.81852551182266,1482.2878746457422,10.50780904985905,530550.5929532534,5574924.322042282
SAA-Gs,Email-Enron,0.2,0.023310918206749475,0.01864873456539958,281.2124484820511,1767.6211047443214,5.0810905420030466,1097190.5097846491,5574924.322042282
SAA-Gs,Email-Enron,0.30000000000000004,0.02018987911118122,0.016151903288944978,249.60035267909907,1568.9165025543368,3.5459941719170573,1572175.2636238348,5574924.322042282
SAA-Gs,Email-Enron,0.4,0.021370357469031563,0.01709628597522525,270.91099160179357,1702.8690900684164,2.38113553303664,2341288.1143026045,5574924.322042282
SAA-Gs,Email-Enron,0.5,0.017897601133448737,0.014318080906758991,232.8058189261187,1463.3508618213175,1.837672038968889,3033688.386079135,5574924.322042282
SAA-Gs,Email-Enron,0.6,0.01846456901033988,0.014771655208271903,246.6141541193306,1550.1461116072207,1.5260330526839223,3653213.350941083,5574924.322042282
SSumM,Email-Enron,0.1,0.013685251965488717,0.010948201572390974,160.7742225365002,1205.8066690237515,10.424389948428049,534796.2182557221,5574924.322042282
SSumM,Email-Enron,0.2,0.012224654708614486,0.009779723766891589,147.08969831166957,1103.1727373375218,5.149917746976059,1082526.8666311766,5574924.322042282
SSumM,Email-Enron,0.30000000000000004,0.01493460561310572,0.011947684490484577,184.15169871102688,1381.1377403327017,3.0708086222732893,1815458.0788936368,5574924.322042282
SSumM,Email-Enron,0.4,0.014970486448132356,0.011976389158505886,189.28719972227054,1419.653997917029,2.308425775836595,2415032.9546644734,5574924.322042282
SSumM,Email-Enron,0.5,0.010492254221548893,0.008393803377239115,136.1251294212048,1020.9384706590359,2.160363013651143,2580549.790389313,5574924.322042282
SSumM,Email-Enron,0.6,0.011293553851288695,0.009034843081030957,150.4457576041675,1128.3431820312564,1.6773716184954863,3323607.160494759,5574924.322042282
SSumM-Dir,Email-Enron,0.1,0.015160806483753569,0.012128645187002856,190.4777065882987,1292.5272947063127,9.576771171939575,582129.8454302733,5574924.322042282
SSumM-Dir,Email-Enron,0.2,0.01359998422650903,0.010879987381207224,175.00170885802493,1187.511595822312,5.4077860225242285,1030906.9735418335,5574924.322042282
SSumM-Dir,Email-Enron,0.30000000000000004,0.014448504254122675,0.01155880340329814,190.52987820442627,1292.8813163871782,3.6378005144507437,1532498.6347922424,5574924.322042282
SSumM-Dir,Email-Enron,0.4,0.013527466331861965,0.010821973065489572,182.91950792170763,1241.2395180401588,2.466562978128234,2260199.464387018,5574924.322042282
SSumM-Dir,Email-Enron,0.5,0.011876384659174784,0.009501107727339829,164.78284053645527,1118.1692750688037,2.0714109034809116,2691365.7317695273,5574924.322042282
SSumM-Dir,Email-Enron,0.6,0.015414669620466538,0.012331735696373232,219.60476960902605,1490.1752223469625,1.6677814102486865,3342718.8286089557,5574924.322042282
k-Gs,DBLP,0.1,0.022321116393708238,0.01785689311496659,408.59928402343706,2723.995226822914,9.171783196372585,4183649.4674282377,38371525.88487142
k-Gs,DBLP,0.2,0.024324368583666104,0.019459494866932884,456.0424819269224,3040.2832128461496,5.1147214525681814,7502173.137034565,38371525.88487142
k-Gs,DBLP,0.30000000000000004,0.02388285377922049,0.019106283023376393,458.8664015130414,3059.109343420276,3.3936997375800066,11306694.419652326,38371525.88487142
k-Gs,DBLP,0.4,0.020247484446364507,0.016197987557091606,398.90958977477766,2659.3972651651843,2.3288237858952656,16476783.738328371,38371525.88487142
k-Gs,DBLP,0.5,0.018841810499583972,0.015073448399667178,380.8993235445419,2539.328823630279,2.114980546136839,18142732.30785017,38371525.88487142
k-Gs,DBLP,0.6,0.02552677219451391,0.02042141775561113,529.8626292056583,3532.417528037722,1.839250588108649,20862587.258612704,38371525.88487142
S2L,DBLP,0.1,0.023023142026089086,0.01841851362087127,624.3706918531337,3746.224151118802,10.40095173694619,3689232.183298029,38371525.88487142
S2L,DBLP,0.2,0.02448736633822445,0.01958989307057956,680.1458157196877,4080.874894318126,5.0519253874959285,7595426.088406843,38371525.88487142
S2L,DBLP,0.30000000000000004,0.024208065548148167,0.019366452438518533,689.058911273576,4134.353467641456,3.1905842932785156,12026488.679740347,38371525.88487142
S2L,DBLP,0.4,0.019199881312744926,0.015359905050195941,560.4000612176785,3362.400367306071,2.4452335275141754,15692376.802914165,38371525.88487142
S2L,DBLP,0.5,0.021910692988531967,0.017528554390825575,656.2055671374704,3937.233402824822,2.105687357915362,18222802.991446637,38371525.88487142
S2L,DBLP,0.6,0.021161051687953375,0.0169288413503627,650.7300503055862,3904.380301833517,1.7939347978359907,21389587.81063765,38371525.88487142
SAA-Gs,DBLP,0.1,0.022447233352422893,0.017957786681938315,599.2407144904129,3766.655919654024,9.306575462233306,4123055.3645200203,38371525.88487142
SAA-Gs,DBLP,0.2,0.02344586156082811,0.01875668924866249,641.0423531170386,4029.4090767356715,5.493151836429976,6985338.659382343,38371525.88487142
SAA-Gs,DBLP,0.30000000000000004,0.022775205341793395,0.018220164273434716,638.1446663632431,4011.195045711814,3.2662041012564997,11748049.018158419,38371525.88487142
SAA-Gs,DBLP,0.4,0.019561778104497052,0.01564942248359764,562.0416935538425,3532.833502338439,2.566267464953406,14952270.723491447,38371525.88487142
SAA-Gs,DBLP,0.5,0.01778355466924864,0.014226843735398911,524.2795847474672,3295.4716755555087,2.080526826943258,18443177.654790185,38371525.88487142
SAA-Gs,DBLP,0.6,0.01789602830046622,0.014316822640372977,541.7274569908275,3405.144015370916,1.527777661544025,25115909.76274115,38371525.88487142
SSumM,DBLP,0.1,0.014716547631884895,0.011773238105507917,391.8455572576477,2938.8416794323584,11.10009548547238,3456864.4868948595,38371525.88487142
SSumM,DBLP,0.2,0.01262361863174806,0.010098894905398448,344.2507445333637,2581.880584000228,5.173906761092815,7416354.34434592,38371525.88487142
SSumM,DBLP,0.30000000000000004,0.01253962072210818,0.010031696577686544,350.4384398513764,2628.2882988853235,3.618373874544391,10604632.6928289,38371525.88487142
SSumM,DBLP,0.4,0.014566645016937054,0.011653316013549644,417.43632380561166,3130.772428542088,2.3633270782113867,16236231.640823819,38371525.88487142
SSumM,DBLP,0.5,0.013065675333299723,0.01045254026663978,384.1905954046465,2881.429465534849,2.0510342514383804,18708378.886389468,38371525.88487142
SSumM,DBLP,0.6,0.012479839230671754,0.009983871384537404,376.79373718995396,2825.953028924655,1.6162447736576162,23741160.07072083,38371525.88487142
SSumM-Dir,DBLP,0.1,0.013153075209626958,0.010522460167701567,374.53682005224636,2541.499850354529,10.41888307356276,3682882.8593188343,38371525.88487142
SSumM-Dir,DBLP,0.2,0.013737013429639249,0.0109896107437114,400.6282537445936,2718.548864695457,5.283976074574681,7261865.940216248,38371525.88487142
SSumM-Dir,DBLP,0.30000000000000004,0.014509093729758631,0.011607274983806905,433.63652186766564,2942.533541244874,3.5430479593742645,10830089.325589653,38371525.88487142
SSumM-Dir,DBLP,0.4,0.014472940619957922,0.011578352495966338,443.55319239616364,3009.825234116825,2.633276455403563,14571780.264898466,38371525.88487142
SSumM-Dir,DBLP,0.5,0.013368986695469908,0.010695189356375928,420.4085957574729,2852.772614068566,2.195696638464718,17475786.596686546,38371525.88487142
SSumM-Dir,DBLP,0.6,0.014547708783978762,0.01163816702718301,469.7291504622921,3187.447806708411,1.6098348797142685,23835690.46018063,38371525.88487142
